measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est,zt,Diff
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,2,90,90,56.04,20,8,26,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.5,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,3,90,90,56.04,20,8,40,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.4,-1.2
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,4,90,90,56.04,20,8,45,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,6,90,90,56.04,20,8,49,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,8,90,90,56.04,20,8,50,2,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.4,1.6,-0.8
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,0.5,90,90,56.04,20,8,7,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,2,-0.3
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,1,90,90,56.04,20,8,13,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.1,1.9,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,1.5,90,90,56.04,20,8,20,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.6,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,2,90,90,56.04,20,8,26,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.6,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,3,90,90,56.04,20,8,40,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.4,1.6,-0.8
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,4,90,90,56.04,20,8,45,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.2,1.7,-0.5
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,6,90,90,56.04,20,8,49,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.7,1.8,-0.9
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,8,90,90,56.04,20,8,50,2,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.8,1.7,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,0.5,90,90,56.04,20,8,7,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,2.1,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,1,90,90,56.04,20,8,13,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.1,1.8,-0.3
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,1.5,90,90,56.04,20,8,20,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.6,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,2,90,90,56.04,20,8,26,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,3,90,90,56.04,20,8,40,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
