,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,zt_est
0,B,1,1,15,1,0.5,5,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,2.0
1,B,1,1,15,1,1.0,9,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,2.0
2,B,1,1,15,1,1.5,14,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,2.1
3,B,1,1,15,1,2.0,19,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
4,B,1,1,15,1,3.0,32,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
5,B,1,1,15,1,4.0,42,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,75.0,1.9
6,B,1,1,15,1,6.0,44,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,75.0,1.9
7,B,1,1,15,1,8.0,46,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,115.0,1.9
8,B,1,1,15,1,0.5,8,2.0,1,0,0,0,,1,,0,2,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,0,3636400,56.04,45.0,2.0
9,B,1,1,15,1,1.0,17,2.0,1,0,0,0,,1,,0,2,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,0,3636400,56.04,45.0,2.0
10,B,1,1,15,1,1.5,25,2.0,1,0,0,0,,1,,0,2,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,0,3636400,56.04,45.0,1.9
11,B,1,1,15,1,2.0,34,2.0,1,0,0,0,,1,,0,2,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,0,3636400,56.04,45.0,1.9
12,B,1,1,15,1,3.0,54,2.0,1,0,0,0,,1,,0,2,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,0,3636400,56.04,45.0,2.0
13,B,1,1,15,1,4.0,60,2.0,1,0,0,0,,1,,0,2,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,0,3636400,56.04,75.0,1.9
14,B,1,1,15,1,6.0,64,2.0,1,0,0,0,,1,,0,2,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,0,3636400,56.04,75.0,2.0
15,B,1,1,15,1,8.0,66,2.0,1,0,0,0,,1,,0,2,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,0,3636400,56.04,115.0,2.0
16,B,1,1,16,1,0.5,5,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,2.0
17,B,1,1,16,1,1.0,9,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,2.1
18,B,1,1,16,1,1.5,14,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,2.0
19,B,1,1,16,1,2.0,19,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,2.0
20,B,1,1,16,1,3.0,28,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,2.0
21,B,1,1,16,1,4.0,39,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,75.0,2.0
22,B,1,1,16,1,6.0,44,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,75.0,2.0
23,B,1,1,16,1,8.0,46,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,115.0,2.0
24,B,1,1,17,1,0.5,5,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.1
25,B,1,1,17,1,1.0,10,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.2
